LOTE;VALOR;PESO;DESCRICAO
01700-0;3.294,00 ;21,27;" UM RELÓGIO PULSEIRAELIZ (CORDA MANUAL, PARADO, MOSTRADOR MANCHADO, PESO 21,27G), UM ANEL, DE: OURO BRANCO, OURO; CONTÉM: diamantes, (06 BRIL 0,08CT MNSI1) (02 BRIL 0,07CT MNSI1); CONSTAM: amolgada(s), defeito(s), PESO LOTE: 23,43G (VINTE E TRES GRAMAS E QUARENTA E TRES CENTIGRAMAS) R$ 3.294,00 
"
01701-9;4.595,00 ;0,50;" UM ANEL, DOIS BRINCOS, UM PENDENTE, DE: OURO BRANCO, OURO; CONTÉM: diamantes, (01 BRIL 0,50CT LP1) (07 BRIL 0,06CT KLSI1), diamantes, (32 BRIL 0,03CT KLSI1) (52 LAP BAGUETE 0,03CT KLSI1); CONSTAM: amolgada(s), PESO LOTE: 17,90G (DEZESSETE GRAMAS E NOVENTA R$ 4.595,00 
"
01705-1;3.103,00 ;19,10;" UM ANEL, UMA PULSEIRA, DE: OURO, OURO RODINADO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 19,10G (DEZENOVE GRAMAS E DEZ CENTIGRAMAS) R$ 3.103,00 
"
01723-0;3.105,00 ;23,09;" UM COLAR, UM PENDENTE, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 23,09G (VINTE E TRES GRAMAS E NOVE CENTIGRAMAS) R$ 3.105,00 
"
01755-8;1.557,00 ;0,15;" UMA ALIANÇA, UM ANEL, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (01 BRIL 0,15CT KLSI1); CONSTAM: amolgada(s), PESO LOTE: 11,08G (ONZE GRAMAS E OITO CENTIGRAMAS) R$ 1.557,00 
"
01770-1;5.947,00 ;41,84;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 41,84G (QUARENTA E UM GRAMAS E OITENTA E QUATRO CENTIGRAMAS) R$ 5.947,00 
"
01792-2;1.669,00 ;0,04;" DOIS ANÉIS, DOIS COLARES, (UM DELES COM DOIS PENDENTES FIXOS), UM PENDENTE, UM FRAGMENTO, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (9 BRILHANTES APROX. 0,04CT. KL-P1 NA MÉDIA); CONSTAM: amolgada(s), inscrições, incompleta(s), partida(s), PESO LOTE: 11,58G (ONZE GRAMAS E CINQUENTA E OITO CENTIGRAMAS) R$ 1.669,00 
"
01805-8;2.460,00 ;15,35;" UM ANEL, DE: OURO; CONTÉM: diamantes, PESO LOTE: 15,35G (QUINZE GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 2.460,00 
"
01806-6;2.425,00 ;15,13;" UM ANEL, DE: OURO; CONTÉM: diamantes, PESO LOTE: 15,13G (QUINZE GRAMAS E TREZE CENTIGRAMAS) R$ 2.425,00 
"
01807-4;1.829,00 ;11,45;" UM ANEL, DE: OURO; CONTÉM: diamantes, PESO LOTE: 11,45G (ONZE GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 1.829,00 
"
01808-2;2.244,00 ;14,04;" UM ANEL, DE: OURO; CONTÉM: diamantes, PESO LOTE: 14,04G (QUATORZE GRAMAS E QUATRO CENTIGRAMAS) R$ 2.244,00 
"
01809-0;2.285,00 ;15,90;" UM ANEL, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 15,90G (QUINZE GRAMAS E NOVENTA CENTIGRAMAS) R$ 2.285,00 
"
01810-4;1.822,00 ;11,39;" UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 11,39G (ONZE GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 1.822,00 
"
01894-5;4.072,00 ;25,86;" DUAS ALIANÇAS, UM PENDENTE, UM COLAR, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 25,86G (VINTE E CINCO GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 4.072,00 
"
01906-2; 124,00 ;0,85;" UM ANEL, DE: OURO; CONTÉM: diamantes, (NAO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 0,85G (OITENTA E CINCO CENTIGRAMAS) R$ 124,00 
"
01908-9;1.451,00 ;8,40;" DOIS ANÉIS, DE: OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 8,40G (OITO GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.451,00 
"
01909-7;1.206,00 ;6,99;" UM ANEL, DE: OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 6,99G (SEIS GRAMAS E NOVENTA E NOVE CENTIGRAMAS) R$ 1.206,00 
"
01920-8;1.877,00 ;10,88;" UMA ALIANÇA, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 10,88G (DEZ GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 1.877,00 
"
01921-6;1.212,00 ;7,02;" UM ANEL, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 7,02G (SETE GRAMAS E DOIS CENTIGRAMAS) R$ 1.212,00 
"
01933-0;9.812,00 ;74,90;" CINCO ANÉIS, DOIS COLARES, UMA PULSEIRA, DE: OURO BRANCO, OURO; CONTÉM: diamante, (NÃO PRECIFICADO); CONSTAM: amolgada(s), PESO LOTE: 74,90G (SETENTA E QUATRO GRAMAS E NOVENTA CENTIGRAMAS) R$ 9.812,00 
"
01940-2;1.016,00 ;6,95;" UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 6,95G (SEIS GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 1.016,00 
"
01951-8; 588,00 ;3,91;" UM COLAR, DE: OURO; CONTÉM: diamantes, (NÃO PRECIDFICADOS); CONSTAM: amolgada(s), PESO LOTE: 3,91G (TRES GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 588,00 
"
01991-7;1.367,00 ;10,30;" UM ANEL, UMA ALIANÇA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 10,30G (DEZ GRAMAS E TRINTA CENTIGRAMAS) R$ 1.367,00 
"
02000-1;;6,78;" UM ANEL, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 6,78G (SEIS GRAMAS E SETENTA E OITO CENTIGRAMAS) R$ 990,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 33 de 73 
"
02013-3;2.161,00 ;13,87;" TRES ANÉIS, DOIS BRINCOS, DOIS COLARES, DE: OURO, OURO BRANCO, OURO RODINADO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 13,87G (TREZE GRAMAS E OITENTA E SETE R$ 2.161,00 
"
02016-8;5.667,00 ;39,90;" CINCO ANÉIS, DE: OURO, OURO BRANCO, OURO RODINADO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 39,90G (TRINTA E NOVE GRAMAS E NOVENTA CENTIGRAMAS) R$ 5.667,00 
"
02027-3;1.677,00 ;11,67;" DUAS ALIANÇAS, SEIS ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamante, (NÃO PRECIFICADO), coral; CONSTAM: amolgada(s), inscrições, PESO LOTE: 11,67G (ONZE GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 1.677,00 
"
02035-4;2.184,00 ;15,60;" DOIS ANÉIS, DOIS BRINCOS, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 15,60G (QUINZE GRAMAS E SESSENTA CENTIGRAMAS) R$ 2.184,00 
"
02037-0;1.201,00 ;7,56;" UM ANEL, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 7,56G (SETE GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 1.201,00 
"
02069-9;1.383,00 ;8,80;" UM ANEL, DE: OURO; CONTÉM: diamante, (NÃO PRECIFICADO); CONSTAM: amolgada(s), inscrições, PESO LOTE: 8,80G (OITO GRAMAS E OITENTA CENTIGRAMAS) R$ 1.383,00 
"
02073-7; 606,00 ;4,63;" UM ANEL, DE: OURO, OURO RODINADO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 4,63G (QUATRO GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 606,00 
"
02143-1;5.390,00 ;33,89;" DOIS COLARES, UM PENDENTE, DE: OURO; CONTÉM: diamante, PESO LOTE: 33,89G (TRINTA E TRES GRAMAS E OITENTA E NOVE CENTIGRAMAS) R$ 5.390,00 
"
02151-2;2.771,00 ;19,35;" UMA PULSEIRA(COM UM PENDENTE FIXO), DE: OURO; CONTÉM: diamantes, PESO LOTE: 19,35G (DEZENOVE GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 2.771,00 
"
02188-1; 858,00 ;6,57;" TRES COLARES, QUATRO PENDENTES, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamante; CONSTAM: iniciais, amolgada(s), PESO LOTE: 6,57G (SEIS GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 858,00 
"
02215-2; 622,00 ;3,94;" UM ANEL, DOIS BRINCOS, DE: OURO; CONTÉM: diamantes, NÃO PRECIFICADOS, PESO LOTE: 3,94G (TRES GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 622,00 
"
02242-0;1.070,00 ;6,86;" DOIS ANÉIS, DE: OURO; CONTÉM: diamantes, NÃO PRECIFICADOS, PESO LOTE: 6,86G (SEIS GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 1.070,00 
"
02253-5;5.440,00 ;34,31;" UM ANEL, DOIS BRINCOS, DOIS COLARES, UM PENDENTE, DE: OURO, OURO RODINADO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS, PESO LOTE: 34,31G (TRINTA E QUATRO GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 5.440,00 
"
02260-8; 967,00 ;6,82;" SEIS BRINCOS, DE: OURO, METAL NÃO NOBRE, TARRACHAS DOS BRINCOS; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 6,82G (SEIS GRAMAS E OITENTA E DOIS R$ 967,00 
"
02324-8;5.501,00 ;34,24;" OITO BRINCOS, DUAS PULSEIRAS, TRES PENDENTES, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 34,24G (TRINTA E QUATRO GRAMAS E VINTE E QUATRO CENTIGRAMAS) R$ 5.501,00 
"
02326-4;2.681,00 ;18,22;" TRES ANÉIS, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 18,22G (DEZOITO GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 2.681,00 
"
02331-0;1.007,00 ;7,63;" UM ANEL, UM PENDENTE, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 7,63G (SETE GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 1.007,00 
"
02332-9;1.107,00 ;8,24;" UM ANEL, UM COLAR, DE: OURO; CONTÉM: diamantes; CONSTAM: amassada(s), PESO LOTE: 8,24G (OITO GRAMAS E VINTE E QUATRO CENTIGRAMAS) R$ 1.107,00 
"
02363-9;1.147,00 ;7,02;" DOIS BRINCOS SEM TARRAXA, DE: OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 7,02G (SETE GRAMAS E DOIS CENTIGRAMAS) R$ 1.147,00 
"
02407-4;1.515,00 ;12,12;" TRES ANÉIS, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amassada(s), PESO LOTE: 12,12G (DOZE GRAMAS E DOZE CENTIGRAMAS) R$ 1.515,00 
"
02469-4;1.321,00 ;14,16;" UM RELÓGIO PULSEIRAALTAIR (SEGURANÇA EM METAL NÃO NOBRE), DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amassada(s), defeito(s), PESO LOTE: 14,16G (QUATORZE GRAMAS E DEZESSEIS R$ 1.321,00 
"
02474-0;2.964,00 ;20,77;" OITO BRINCOS, UM COLAR, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 20,77G (VINTE GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 2.964,00 
"
02584-4;2.123,00 ;15,89;" UM ANEL, UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONTÉM: diamante; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 15,89G (QUINZE GRAMAS E OITENTA E NOVE CENTIGRAMAS) R$ 2.123,00 
"
02589-5; 764,00 ;5,77;" DUAS ALIANÇAS, DOIS ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: inscrições, PESO LOTE: 5,77G (CINCO GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 764,00 
"
02626-3;4.222,00 ;31,91;" CINCO ANÉIS, QUATRO BRINCOS, UM COLAR, UM PENDENTE, SEIS PULSEIRAS, UMA TORNOZELEIRA, DE: OURO, OURO BRANCO, METAL NÃO NOBRE, ( FECHO ); CONTÉM: diamantes; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 31,91G (TRINTA E UM GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 4.222,00 
"
02629-8; 819,00 ;5,67;" UMA ALIANÇA, DE: OURO; CONTÉM: diamante; CONSTAM: amolgada(s), inscrições, PESO LOTE: 5,67G (CINCO GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 819,00 
"
02645-0;3.629,00 ;25,92;" QUATRO COLARES, UM PENDENTE, DUAS PULSEIRAS, CINCO FRAGMENTOS, DE: OURO BRANCO, OURO; CONTÉM: esmalte, diamantes; CONSTAM: amassada(s), incompleta(s), inscrições, PESO LOTE: 25,92G (VINTE E CINCO GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 3.629,00 
"
02794-4;1.177,00 ;7,52;" TRES ALIANÇAS, UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamante, UM BRILH DE 7 PTS MNVS); CONSTAM: inscrições, PESO LOTE: 7,52G (SETE GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 1.177,00 
"
02795-2; 299,00 ;1,90;" UM ANEL, DE: OURO; CONTÉM: diamantes; CONSTAM: partida(s), PESO LOTE: 1,90G (UM GRAMAS E NOVENTA CENTIGRAMA) R$ 299,00 
"
02808-8;1.116,00 ;7,63;" UM ANEL, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONTÉM: diamante; CONSTAM: amolgada(s), PESO LOTE: 7,63G (SETE GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 1.116,00 
"
02814-2;2.468,00 ;16,05;" DOIS ANÉIS, UMA PULSEIRA, DE: OURO; CONTÉM: diamante; CONSTAM: amassada(s), PESO LOTE: 16,05G (DEZESSEIS GRAMAS E CINCO CENTIGRAMAS) R$ 2.468,00 
"
02854-1; 200,00 ;0,01;" UM ANEL, DE: OURO; CONTÉM: diamantes, (09 BRILHANTES DE 0,01CT, KL-SI), PESO LOTE: 0,91G (NOVENTA E UM CENTIGRAMAS) R$ 200,00 
"
02867-3; 715,00 ;4,60;" UMA ALIANÇA, DOIS ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,60G (QUATRO GRAMAS E SESSENTA CENTIGRAMAS) R$ 715,00 
"
02877-0; 626,00 ;3,92;" UM ANEL, DOIS COLARES, TRES PENDENTES, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 3,92G (TRES GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 626,00 
"
02881-9;6.360,00 ;40,37;" UMA ALIANÇA, QUATRO ANÉIS, DOIS COLARES, TRES PENDENTES, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (01 BR N,VS1 DE 40PTS), PESO LOTE: 40,37G (QUARENTA GRAMAS E TRINTA E SETE CENTIGRAMAS) R$ 6.360,00 
"
02935-1; 407,00 ;2,74;" UM ANEL, DE: OURO BRANCO, OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 2,74G (DOIS GRAMAS E SETENTA E QUATRO CENTIGRAMAS) R$ 407,00 
"
02999-8; 991,00 ;0,18;" UM ALFINETE, DOIS BRINCOS, DE: METAL NÃO NOBRE, (FECHO DE SEGURANÇA), OURO BRANCO, OURO; CONTÉM: diamantes, (DOIS BRILH DE 0,18 CT KLVSSI, UM BRILH DE 0,10 CT KLSI); CONSTAM: amolgada(s), PESO LOTE: 4,88G (QUATRO GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 991,00 
"
03003-1;4.116,00 ;26,00;" DUAS PULSEIRAS, DE: OURO; CONTÉM: diamantes, (15 BR KL,VS DE 1 PT CADA), PESO LOTE: 26,00G (VINTE E SEIS GRAMAS) R$ 4.116,00 
"
03013-9; 264,00 ;1,90;" UMA ALIANÇA, UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 1,90G (UM GRAMAS E NOVENTA CENTIGRAMA) R$ 264,00 
"
03027-9;3.162,00 ;20,65;" DOIS BRINCOS, DEZ PENDENTES, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, esmalte; CONSTAM: iniciais, amassada(s), amolgada(s), PESO LOTE: 20,65G (VINTE GRAMAS E SESSENTA E CINCO R$ 3.162,00 
"
03036-8;1.637,00 ;9,98;" DOIS BRINCOS, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 9,98G (NOVE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 1.637,00 
"
03084-8;10.208,00 ;69,08;" UM ANEL, UM COLAR, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 69,08G (SESSENTA E NOVE GRAMAS E OITO CENTIGRAMAS) R$ 10.208,00 
"
03106-2; 295,00 ;2,03;" UM ANEL, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 2,03G (DOIS GRAMAS E TRES CENTIGRAMAS) R$ 295,00 
"
03108-9; 880,00 ;5,61;" UM ANEL, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 5,61G (CINCO GRAMAS E SESSENTA E UM CENTIGRAMAS) R$ 880,00 
"
03122-4; 590,00 ;4,50;" UMA ALIANÇA, DE: OURO; CONTÉM: diamante, NAO PRECIFICADO; CONSTAM: defeito(s), DIAMANTE QUEBRADO, PESO LOTE: 4,50G (QUATRO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 590,00 
"
03128-3;2.010,00 ;15,35;" UM ANEL, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), amassada(s), PESO LOTE: 15,35G (QUINZE GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 2.010,00 
"
03135-6; 557,00 ;3,95;" UMA ALIANÇA, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 3,95G (TRES GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 557,00 
"
03169-0;1.810,00 ;13,10;" UM ANEL, QUATRO BRINCOS, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 13,10G (TREZE GRAMAS E DEZ CENTIGRAMAS) R$ 1.810,00 
"
03173-9;2.269,00 ;14,82;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 14,82G (QUATORZE GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 2.269,00 
"
03174-7;2.759,00 ;18,18;" UM ANEL, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 18,18G (DEZOITO GRAMAS E DEZOITO CENTIGRAMAS) R$ 2.759,00 
"
03204-2; 872,00 ;5,97;" UMA ALIANÇA, DE: OURO; CONTÉM: diamante; CONSTAM: inscrições, PESO LOTE: 5,97G (CINCO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 872,00 
"
03215-8; 565,00 ;3,95;" TRES ANÉIS, DE: OURO; CONTÉM: diamante, (NÃO PRECIFICADO); CONSTAM: amolgada(s), PESO LOTE: 3,95G (TRES GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 565,00 
"
03216-6; 735,00 ;5,15;" TRES ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 5,15G (CINCO GRAMAS E QUINZE CENTIGRAMAS) R$ 735,00 
"
03221-2;3.012,00 ;19,61;" DOIS ANÉIS, TRES COLARES, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), partida(s), PESO LOTE: 19,61G (DEZENOVE GRAMAS E SESSENTA E UM CENTIGRAMAS) R$ 3.012,00 
"
03222-0; 670,00 ;5,72;" UM ANEL, DE: OURO RODINADO, (16K); CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 5,72G (CINCO GRAMAS E SETENTA E DOIS CENTIGRAMAS) R$ 670,00 
"
03232-8; 473,00 ;3,56;" DOIS PENDENTES, UM PIERCING, DE: OURO, OURO BRANCO; CONTÉM: diamante, NAO PRECIFICADO; CONSTAM: iniciais, PESO LOTE: 3,56G (TRES GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 473,00 
"
03240-9;4.335,00 ;27,38;" UM ANEL, DOIS BRINCOS, UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 27,38G (VINTE E SETE GRAMAS E TRINTA E OITO CENTIGRAMAS) R$ 4.335,00 
"
03245-0; 887,00 ;6,06;" UMA ALIANÇA, UM COLAR, DE: OURO, OURO BRANCO; CONTÉM: diamante, NAO PRECIFICADO, PESO LOTE: 6,06G (SEIS GRAMAS E SEIS CENTIGRAMAS) R$ 887,00 
"
03261-1; 791,00 ;4,78;" DOIS PENDENTES, DOIS BRINCOS, DE: OURO BRANCO, OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 4,78G (QUATRO GRAMAS E SETENTA E OITO CENTIGRAMAS) R$ 791,00 
"
03281-6; 537,00 ;3,56;" UM ANEL, DE: OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 3,56G (TRES GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 537,00 
"
03308-1;7.550,00 ;48,49;" DUAS PULSEIRAS, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 48,49G (QUARENTA E OITO GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 7.550,00 
"
03309-0;2.354,00 ;15,62;" UM ANEL, DOIS BRINCOS, DE: OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 15,62G (QUINZE GRAMAS E SESSENTA E DOIS CENTIGRAMAS) R$ 2.354,00 
"
03327-8; 883,00 ;0,20;" DOIS ANÉIS, DE: OURO BRANCO; CONTÉM: diamantes, (1 IRREG 0,20CT KL P1) (9 BRIL 0,06CT KL VS), PESO LOTE: 4,25G (QUATRO GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 883,00 
"
03472-0;1.541,00 ;0,09;" UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, (16 LAP NAVETE REG 0,09CT CADA KL SI), PESO LOTE: 5,88G (CINCO GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 1.541,00 
"
03486-0;4.626,00 ;0,15;" DOIS ANÉIS, TRES BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (6 BRIL 0,15CT IJ SI) (1 BRIL 0,20CT IJ SI), PESO LOTE: 22,16G (VINTE E DOIS GRAMAS E DEZESSEIS CENTIGRAMAS) R$ 4.626,00 
"
03547-5;1.103,00 ;7,07;" DOIS BRINCOS, UM PENDENTE, DE: OURO, OURO RODINADO; CONTÉM: diamantes, PESO LOTE: 7,07G (SETE GRAMAS E SETE CENTIGRAMAS) R$ 1.103,00 
"
03555-6; 579,00 ;3,65;" UM PENDENTE, DE: OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 3,65G (TRES GRAMAS E SESSENTA E CINCO CENTIGRAMAS) R$ 579,00 
"
03583-1;1.466,00 ;10,47;" DOIS BRINCOS, UM COLAR, (COM PENDENTE FIXO), UM PENDENTE, DE: OURO, OURO RODINADO; CONTÉM: diamantes, PESO LOTE: 10,47G (DEZ GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 1.466,00 
"
03616-1;2.272,00 ;14,83;" UM ANEL, UM PENDENTE, DUAS PULSEIRAS, (UMA COM UM PENDENTE FIXO), DE: OURO BRANCO, OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 14,83G (QUATORZE GRAMAS E OITENTA E TRES CENTIGRAMAS) R$ 2.272,00 
"
03627-7;1.111,00 ;7,08;" UM PENDENTE, DE: OURO; CONTÉM: diamantes, (NAO PRECIFICADOS), PESO LOTE: 7,08G (SETE GRAMAS E OITO CENTIGRAMAS) R$ 1.111,00 
"
03661-7;1.984,00 ;13,70;" DUAS ALIANÇAS, TRES ANÉIS, UM PENDENTE, UMA TORNOZELEIRA, DE: OURO, OURO RODINADO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: inscrições, amolgada(s), PESO LOTE: 13,70G (TREZE GRAMAS E SETENTA CENTIGRAMAS) R$ 1.984,00 
"
03668-4;2.760,00 ;18,94;" UM COLAR, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 18,94G (DEZOITO GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 2.760,00 
"
03693-5;17.683,00 ;0,01;" DOIS COLARES, DOIS PENDENTES, DE: OURO; CONTÉM: diamantes, APROX. 120BR 0,01CT; CONSTAM: inscrições, PESO LOTE: 123,70G (CENTO E VINTE E TRES GRAMAS E SETENTA CENTIGRAMAS) R$ 17.683,00 
"
03723-0;1.217,00 ;0,15;" UMA ALIANÇA, UM ANEL, DOIS COLARES, DE: OURO, OURO BRANCO; CONTÉM: diamante, 01 BR 0,15CT; CONSTAM: amolgada(s), inscrições, PESO LOTE: 8,56G (OITO GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 1.217,00 
"
